"rules""support""confidence""lift"
"{} => {Java}"0.1140350877192980.1140350877192981
"{} => {MySQL}"0.1223684210526320.1223684210526321
"{} => {PHP}"0.1320175438596490.1320175438596491
"{} => {CSS}"0.1122807017543860.1122807017543861
"{} => {HTML}"0.1333333333333330.1333333333333331
"{} => {Git}"0.1587719298245610.1587719298245611
"{} => {Javascript}"0.2245614035087720.2245614035087721
"{Asp.net} => {C#}"0.02149122807017540.94230769230769216.1538461538462
"{C#} => {Asp.net}"0.02149122807017540.36842105263157916.1538461538462
"{Angular.js} => {Javascript}"0.02105263157894740.6575342465753422.92808219178082
"{AngularJS} => {Javascript}"0.02192982456140350.8196721311475413.65010245901639
"{Node.js} => {Javascript}"0.02894736842105260.7333333333333333.265625
"{Javascript} => {Node.js}"0.02894736842105260.128906253.265625
"{PHP5} => {MySQL}"0.02061403508771930.7460317460317466.09660351595836
"{MySQL} => {PHP5}"0.02061403508771930.1684587813620076.09660351595836
"{C#} => {Javascript}"0.02280701754385970.3909774436090231.74107142857143
"{Javascript} => {C#}"0.02280701754385970.10156251.74107142857143
"{CSS3} => {HTML5}"0.04166666666666670.90476190476190514.734693877551
"{HTML5} => {CSS3}"0.04166666666666670.67857142857142914.734693877551
"{CSS3} => {JQuery}"0.03015350877192980.6547619047619056.61287770922322
"{JQuery} => {CSS3}"0.03015350877192980.3045404208194916.61287770922322
"{CSS3} => {Git}"0.02324561403508770.5047619047619053.17916337805841
"{Git} => {CSS3}"0.02324561403508770.1464088397790063.17916337805841
"{CSS3} => {Javascript}"0.03859649122807020.8380952380952383.73214285714286
"{Javascript} => {CSS3}"0.03859649122807020.1718753.73214285714286
"{Python} => {PostgreSQL}"0.02061403508771930.2901234567901234.26762246117085
"{PostgreSQL} => {Python}"0.02061403508771930.3032258064516134.26762246117085
"{Python} => {Linux}"0.02017543859649120.2839506172839513.4994994994995
"{Linux} => {Python}"0.02017543859649120.2486486486486493.4994994994995
"{Ajax} => {HTML5}"0.02149122807017540.4579439252336457.45794392523364
"{HTML5} => {Ajax}"0.02149122807017540.357.45794392523364
"{Ajax} => {MySQL}"0.02324561403508770.4953271028037384.04783438850367
"{MySQL} => {Ajax}"0.02324561403508770.1899641577060934.04783438850367
"{Ajax} => {JQuery}"0.03278508771929820.6985981308411227.05560902909305
"{JQuery} => {Ajax}"0.03278508771929820.3311184939091927.05560902909305
"{Ajax} => {PHP}"0.02456140350877190.5233644859813083.96435557487503
"{PHP} => {Ajax}"0.02456140350877190.1860465116279073.96435557487503
"{Ajax} => {CSS}"0.02456140350877190.5233644859813084.66121495327103
"{CSS} => {Ajax}"0.02456140350877190.218754.66121495327103
"{Ajax} => {HTML}"0.02675438596491230.5700934579439254.27570093457944
"{HTML} => {Ajax}"0.02675438596491230.2006578947368424.27570093457944
"{Ajax} => {Git}"0.02061403508771930.4392523364485982.76656167707957
"{Git} => {Ajax}"0.02061403508771930.1298342541436462.76656167707957
"{Ajax} => {Javascript}"0.04254385964912280.9065420560747664.03694509345794
"{Javascript} => {Ajax}"0.04254385964912280.1894531254.03694509345794
"{PostgreSQL} => {MySQL}"0.02017543859649120.2967741935483872.42525147415886
"{MySQL} => {PostgreSQL}"0.02017543859649120.1648745519713262.42525147415886
"{PostgreSQL} => {Git}"0.02236842105263160.3290322580645162.07235786847264
"{Git} => {PostgreSQL}"0.02236842105263160.1408839779005522.07235786847264
"{SQL} => {Javascript}"0.02280701754385970.3113772455089821.38660179640719
"{Javascript} => {SQL}"0.02280701754385970.10156251.38660179640719
"{HTML5} => {MySQL}"0.02017543859649120.3285714285714292.68509984639017
"{MySQL} => {HTML5}"0.02017543859649120.1648745519713262.68509984639017
"{HTML5} => {JQuery}"0.03673245614035090.5982142857142866.04176554342667
"{JQuery} => {HTML5}"0.03673245614035090.3709856035437436.04176554342667
"{HTML5} => {CSS}"0.02236842105263160.3642857142857143.24441964285714
"{CSS} => {HTML5}"0.02236842105263160.199218753.24441964285714
"{HTML5} => {HTML}"0.02061403508771930.3357142857142862.51785714285714
"{HTML} => {HTML5}"0.02061403508771930.1546052631578952.51785714285714
"{HTML5} => {Git}"0.02587719298245610.4214285714285712.65430149960537
"{Git} => {HTML5}"0.02587719298245610.1629834254143652.65430149960537
"{HTML5} => {Javascript}"0.05263157894736840.8571428571428573.81696428571429
"{Javascript} => {HTML5}"0.05263157894736840.2343753.81696428571429
"{Linux} => {MySQL}"0.02017543859649120.2486486486486492.03196745132229
"{MySQL} => {Linux}"0.02017543859649120.1648745519713262.03196745132229
"{Linux} => {PHP}"0.02017543859649120.2486486486486491.88345155787016
"{PHP} => {Linux}"0.02017543859649120.1528239202657811.88345155787016
"{Linux} => {Git}"0.02631578947368420.3243243243243242.04270568911453
"{Git} => {Linux}"0.02631578947368420.1657458563535912.04270568911453
"{нно} => {MySQL}"0.03377192982456140.3869346733668343.16204679310531
"{MySQL} => {нно}"0.03377192982456140.2759856630824373.16204679310531
"{нно} => {JQuery}"0.02236842105263160.2562814070351762.58835706773068
"{JQuery} => {нно}"0.02236842105263160.2259136212624582.58835706773068
"{нно} => {PHP}"0.03859649122807020.4422110552763823.3496385582397
"{PHP} => {нно}"0.03859649122807020.2923588039867113.3496385582397
"{нно} => {HTML}"0.02061403508771930.2361809045226131.7713567839196
"{HTML} => {нно}"0.02061403508771930.1546052631578951.7713567839196
"{нно} => {Git}"0.0434210526315790.497487437185933.13334628945834
"{Git} => {нно}"0.0434210526315790.2734806629834253.13334628945834
"{нно} => {Javascript}"0.03508771929824560.4020100502512561.79020100502513
"{Javascript} => {нно}"0.03508771929824560.156251.79020100502513
"{Java} => {Git}"0.02543859649122810.2230769230769231.40501487462813
"{Git} => {Java}"0.02543859649122810.1602209944751381.40501487462813
"{Java} => {Javascript}"0.02149122807017540.1884615384615380.839242788461538
"{MySQL} => {JQuery}"0.03421052631578950.2795698924731182.82356303361555
"{JQuery} => {MySQL}"0.03421052631578950.3455149501661132.82356303361555
"{MySQL} => {PHP}"0.08464912280701750.6917562724014345.23988139892116
"{PHP} => {MySQL}"0.08464912280701750.6411960132890375.23988139892116
"{MySQL} => {CSS}"0.02675438596491230.2186379928315411.94724462365591
"{CSS} => {MySQL}"0.02675438596491230.238281251.94724462365591
"{MySQL} => {HTML}"0.03245614035087720.2652329749103941.98924731182796
"{HTML} => {MySQL}"0.03245614035087720.2434210526315791.98924731182796
"{MySQL} => {Git}"0.04605263157894740.3763440860215052.37034396720727
"{Git} => {MySQL}"0.04605263157894740.2900552486187852.37034396720727
"{MySQL} => {Javascript}"0.0627192982456140.5125448028673832.28242607526882
"{Javascript} => {MySQL}"0.0627192982456140.2792968752.28242607526882
"{JQuery} => {PHP}"0.03936403508771930.3975636766334443.01144578978157
"{PHP} => {JQuery}"0.03936403508771930.2981727574750833.01144578978157
"{JQuery} => {CSS}"0.05690789473684210.5747508305647845.11887458471761
"{CSS} => {JQuery}"0.05690789473684210.50683593755.11887458471761
"{JQuery} => {HTML}"0.05866228070175440.5924695459579184.44352159468438
"{HTML} => {JQuery}"0.05866228070175440.4399671052631584.44352159468439
"{JQuery} => {Git}"0.03497807017543860.3532668881506092.22499587011986
"{Git} => {JQuery}"0.03497807017543860.2203038674033152.22499587011986
"{JQuery} => {Javascript}"0.07796052631578950.7873754152823923.5062811461794
"{Javascript} => {JQuery}"0.07796052631578950.347167968753.5062811461794
"{PHP} => {CSS}"0.03859649122807020.2923588039867112.60382059800664
"{CSS} => {PHP}"0.03859649122807020.343752.60382059800664
"{PHP} => {HTML}"0.04473684210526320.3388704318936882.54152823920266
"{HTML} => {PHP}"0.04473684210526320.3355263157894742.54152823920266
"{PHP} => {Git}"0.050.3787375415282392.38541876984637
"{Git} => {PHP}"0.050.3149171270718232.38541876984637
"{PHP} => {Javascript}"0.07280701754385970.5514950166112962.45587624584718
"{Javascript} => {PHP}"0.07280701754385970.324218752.45587624584718
"{CSS} => {HTML}"0.09736842105263160.86718756.50390625
"{HTML} => {CSS}"0.09736842105263160.7302631578947376.50390625
"{CSS} => {Git}"0.03157894736842110.281251.77140883977901
"{Git} => {CSS}"0.03157894736842110.1988950276243091.77140883977901
"{CSS} => {Javascript}"0.08201754385964910.730468753.25286865234375
"{Javascript} => {CSS}"0.08201754385964910.3652343753.25286865234375
"{HTML} => {Git}"0.03377192982456140.2532894736842111.59530386740331
"{Git} => {HTML}"0.03377192982456140.2127071823204421.59530386740331
"{HTML} => {Javascript}"0.09166666666666670.68753.0615234375
"{Javascript} => {HTML}"0.09166666666666670.4082031253.0615234375
